EmployeeID,Country,Age,Gender,MaritalStatus,Department,JobRole,MonthlyIncome,JobSatisfaction,WorkLifeBalance,RemoteWorkDays,OvertimeHours,VacationWeeks,TrainingHoursLastYear,PromotionLastYear,BurnoutRisk,DistanceFromHome,EnvironmentSatisfaction,JobInvolvement,JobLevel,PerformanceRating,RelationshipSatisfaction,YearsInCurrentRole,YearsSinceLastPromotion,YearsAtCompany
EMP1001,Norway,20,Male,Single,Finance,HR Manager,62764,2,3,3,5,8,40,1,Medium,1,2,3,2,3,1,4,0,1
EMP1002,Finland,60,Male,Married,IT,Marketing Specialist,42385,1,5,3,6,6,30,0,Medium,8,3,2,2,4,4,7,1,4
EMP1003,Denmark,24,Male,Single,Sales,Marketing Specialist,39580,4,5,0,3,6,48,0,Low,2,4,2,1,3,2,0,0,4
EMP1004,Sweden,21,Female,Married,Engineering,Marketing Specialist,40193,5,4,4,3,6,12,0,Low,3,4,3,1,3,3,7,3,1
EMP1005,Norway,48,Male,Married,Finance,Software Engineer,62342,4,4,2,0,7,40,1,Low,2,1,3,1,3,4,2,2,7
EMP1006,Norway,62,Female,Single,IT,Sales Executive,49877,4,4,2,1,7,27,0,Low,2,4,3,1,3,3,7,3,4
EMP1007,Norway,51,Male,Married,IT,Data Analyst,59999,5,5,0,1,5,63,1,Low,3,3,4,1,4,1,0,0,1
EMP1008,Denmark,43,Female,Divorced,IT,Sales Executive,69045,3,5,5,4,5,18,0,Low,24,4,3,1,4,2,0,0,1
EMP1009,Sweden,43,Female,Single,Finance,Financial Analyst,85430,5,4,5,4,8,71,0,Low,23,4,2,3,4,2,7,1,10
EMP1010,Denmark,46,Female,Married,Sales,Software Engineer,50222,4,4,2,2,6,24,0,Low,27,3,3,2,3,2,7,7,9
EMP1011,Norway,45,Female,Married,Sales,Marketing Specialist,33871,4,3,2,4,7,37,0,High,16,1,4,1,3,3,4,0,1
EMP1012,Finland,40,Male,Single,Sales,Operations Manager,81886,3,4,3,6,7,2,0,Low,15,4,2,2,3,4,5,0,0
EMP1013,Denmark,39,Male,Divorced,Finance,HR Manager,33143,4,4,1,4,7,1,0,Low,26,1,3,1,3,4,2,4,8
EMP1014,Norway,37,Female,Divorced,Engineering,Software Engineer,32553,2,3,1,2,7,4,0,Low,19,2,3,1,3,3,2,1,4
EMP1015,Norway,30,Male,Single,IT,Financial Analyst,81496,4,5,3,1,6,60,0,Low,24,3,2,1,3,2,2,0,0
EMP1016,Norway,35,Male,Divorced,HR,Marketing Specialist,70993,3,4,1,3,8,19,0,Low,21,2,4,3,3,3,9,8,4
EMP1017,Norway,21,Male,Divorced,Engineering,Financial Analyst,62272,5,5,2,2,6,75,0,Low,5,1,4,1,3,4,2,0,3
EMP1018,Sweden,37,Male,Divorced,IT,Financial Analyst,54251,3,3,2,6,6,37,0,Low,16,4,4,1,3,2,0,0,7
EMP1019,Sweden,28,Male,Married,IT,Marketing Specialist,51411,2,4,2,0,5,79,0,Low,2,1,2,4,3,3,8,3,1
EMP1020,Norway,26,Female,Single,Engineering,Financial Analyst,45237,4,4,1,0,8,35,0,Low,2,4,3,1,3,3,2,1,3
EMP1021,Sweden,39,Male,Divorced,Finance,Data Analyst,50754,3,3,2,2,7,45,0,Medium,11,1,4,2,3,4,2,1,0
EMP1022,Norway,51,Female,Single,Sales,HR Manager,54288,4,4,2,4,5,36,0,Low,9,3,2,1,4,2,3,0,15
EMP1023,Norway,47,Male,Single,IT,Operations Manager,34383,5,3,2,5,7,53,0,Low,7,1,3,3,3,3,6,2,7
EMP1024,Norway,22,Female,Single,Sales,Financial Analyst,42696,4,3,3,2,6,20,1,Low,15,3,3,1,3,4,0,0,6
EMP1025,Sweden,28,Male,Single,Finance,Financial Analyst,30000,1,3,5,6,8,20,0,Low,6,2,3,1,3,3,2,1,5
EMP1026,Denmark,47,Female,Divorced,IT,Sales Executive,56168,4,3,1,1,6,69,0,Medium,5,3,3,5,3,4,13,4,2
EMP1027,Norway,28,Female,Single,Sales,HR Manager,56171,4,4,4,4,7,59,0,Low,16,2,1,1,4,2,2,6,12
EMP1028,Sweden,35,Male,Married,IT,Software Engineer,81677,5,2,1,12,7,35,0,Low,8,3,3,2,3,4,7,4,0
EMP1029,Sweden,43,Female,Married,Finance,HR Manager,60633,2,4,2,3,5,76,0,Low,7,1,2,3,3,4,6,5,8
EMP1030,Norway,28,Other,Single,IT,HR Manager,46659,4,4,2,3,7,10,0,Low,2,2,3,5,3,4,2,2,1
EMP1031,Sweden,39,Female,Single,IT,Marketing Specialist,51994,4,4,2,5,6,30,0,Low,2,3,3,1,3,4,1,0,1
EMP1032,Norway,24,Female,Married,Finance,Marketing Specialist,62302,3,5,3,5,7,36,0,Low,10,4,3,2,3,4,2,1,3
EMP1033,Norway,31,Male,Single,IT,Marketing Specialist,58414,3,4,2,2,7,59,0,Low,9,4,2,1,3,1,0,1,7
EMP1034,Finland,41,Female,Married,Operations,Operations Manager,63674,4,4,2,4,7,60,0,Low,5,4,3,2,3,3,0,0,9
EMP1035,Finland,22,Male,Married,IT,HR Manager,60655,5,3,4,3,5,66,0,Low,1,2,3,1,3,1,0,2,4
EMP1036,Denmark,42,Male,Divorced,HR,Operations Manager,51210,5,4,1,2,8,28,0,Low,2,4,4,1,3,4,3,1,2
EMP1037,Norway,37,Other,Married,IT,Financial Analyst,46963,4,5,1,3,6,66,0,Low,3,1,2,1,3,3,2,0,14
EMP1038,Norway,43,Male,Married,Finance,Marketing Specialist,46156,3,4,0,4,7,78,0,Low,2,4,3,1,3,1,2,2,1
EMP1039,Sweden,40,Female,Married,Operations,Financial Analyst,41120,3,3,1,4,7,70,0,Medium,5,2,2,1,3,4,1,0,8
EMP1040,Sweden,51,Female,Married,IT,Marketing Specialist,38768,5,4,2,1,8,66,0,Medium,1,3,4,2,3,1,3,1,4
EMP1041,Norway,39,Female,Divorced,Operations,Data Analyst,82576,5,4,2,6,7,15,0,Low,4,3,3,1,3,3,0,0,2
EMP1042,Sweden,33,Other,Divorced,IT,Operations Manager,56870,5,4,1,2,6,44,0,Low,2,4,3,1,3,4,0,0,0
EMP1043,Norway,39,Male,Single,Engineering,Operations Manager,52670,4,4,0,2,7,33,0,Medium,25,1,1,1,3,3,0,0,2
EMP1044,Finland,43,Male,Single,Sales,Software Engineer,47561,3,3,3,3,6,43,0,High,8,4,3,3,3,4,8,1,1
EMP1045,Norway,38,Male,Single,Engineering,Sales Executive,61433,5,5,3,2,5,77,0,Low,1,3,3,2,4,4,8,3,0
EMP1046,Sweden,38,Male,Married,Sales,HR Manager,73054,4,3,5,4,8,41,0,Low,12,2,3,5,3,4,15,15,0
EMP1047,Norway,30,Male,Single,Sales,Software Engineer,65848,3,3,5,3,7,34,0,Low,23,2,3,2,4,3,5,8,2
EMP1048,Sweden,31,Male,Married,IT,Operations Manager,68823,4,4,5,3,5,74,0,Low,19,2,3,1,4,1,0,0,4
EMP1049,Sweden,23,Female,Single,IT,Software Engineer,46202,2,2,3,4,7,29,0,Low,5,1,3,2,4,3,6,0,9
EMP1050,Norway,55,Female,Married,Operations,Data Analyst,54938,1,1,3,1,6,52,0,Low,8,4,4,1,3,4,0,0,1
EMP1051,Finland,25,Male,Single,Finance,Sales Executive,46399,4,3,1,3,5,57,0,Medium,1,1,2,3,3,4,0,0,2
EMP1052,Denmark,31,Female,Single,Finance,Operations Manager,56605,4,4,3,0,6,27,0,Low,5,3,3,1,3,3,2,2,2
EMP1053,Finland,30,Male,Divorced,Engineering,Operations Manager,74088,5,5,0,1,7,14,0,Medium,1,2,3,2,4,3,3,1,3
EMP1054,Denmark,46,Male,Married,Finance,HR Manager,61591,2,5,4,1,7,37,1,Low,11,3,2,3,3,3,0,2,8
EMP1055,Sweden,35,Female,Married,Operations,Marketing Specialist,79400,2,4,2,3,7,49,0,Low,23,3,2,2,3,3,2,0,4
EMP1056,Finland,50,Female,Single,Engineering,Sales Executive,50672,2,2,3,2,6,12,0,Low,1,1,3,3,3,3,14,8,9
EMP1057,Norway,31,Female,Married,Sales,Data Analyst,42895,1,4,0,4,7,34,0,Low,18,2,3,3,4,4,8,1,3
EMP1058,Norway,40,Male,Married,Engineering,Financial Analyst,62681,2,4,2,5,6,23,0,Low,23,3,3,1,3,3,2,2,4
EMP1059,Norway,29,Female,Divorced,IT,Software Engineer,56782,4,4,2,3,7,64,0,Low,7,4,3,2,4,4,7,1,2
EMP1060,Norway,59,Female,Divorced,Finance,HR Manager,59840,4,3,1,3,7,17,0,Low,1,1,2,2,3,3,5,0,8
EMP1061,Norway,26,Female,Married,HR,Operations Manager,57598,4,3,2,4,6,57,1,High,1,1,3,2,4,2,8,7,12
